dep;jour;P;cl_age90;pop
01;2020-06-24;1;49;89678
01;2020-06-24;0;59;89791
01;2020-06-24;0;69;73500
01;2020-06-24;0;79;51011
01;2020-06-24;0;89;26830
01;2020-06-24;0;90;7395
01;2020-06-24;2;0;656955
01;2020-06-25;0;09;83001
01;2020-06-25;0;19;84665
01;2020-06-25;3;29;65496
01;2020-06-25;0;39;85588
01;2020-06-25;0;49;89678
01;2020-06-25;0;59;89791
01;2020-06-25;0;69;73500
01;2020-06-25;1;79;51011
01;2020-06-25;1;89;26830
01;2020-06-25;0;90;7395
01;2020-06-25;5;0;656955
01;2020-06-26;0;09;83001
01;2020-06-26;3;19;84665
01;2020-06-26;0;29;65496
01;2020-06-26;1;39;85588
01;2020-06-26;2;49;89678
01;2020-06-26;1;59;89791
01;2020-06-26;0;69;73500
01;2020-06-26;0;79;51011
01;2020-06-26;0;89;26830
01;2020-06-26;1;90;7395
01;2020-06-26;8;0;656955
01;2020-06-27;1;09;83001
01;2020-06-27;0;19;84665
01;2020-06-27;0;29;65496
01;2020-06-27;0;39;85588
01;2020-06-27;2;49;89678
01;2020-06-27;2;59;89791
01;2020-06-27;1;69;73500
01;2020-06-27;0;79;51011
01;2020-06-27;0;89;26830
01;2020-06-27;0;90;7395
01;2020-06-27;6;0;656955
01;2020-06-28;0;09;83001
01;2020-06-28;0;19;84665
01;2020-06-28;0;29;65496
01;2020-06-28;0;39;85588
01;2020-06-28;0;49;89678
01;2020-06-28;0;59;89791
01;2020-06-28;0;69;73500
01;2020-06-28;0;79;51011
01;2020-06-28;0;89;26830
01;2020-06-28;0;90;7395
01;2020-06-28;0;0;656955
01;2020-06-29;1;09;83001
01;2020-06-29;1;19;84665
01;2020-06-29;0;29;65496
01;2020-06-29;3;39;85588
01;2020-06-29;0;49;89678
01;2020-06-29;0;59;89791
01;2020-06-29;1;69;73500
01;2020-06-29;0;79;51011
01;2020-06-29;0;89;26830
01;2020-06-29;0;90;7395
01;2020-06-29;6;0;656955
01;2020-06-30;0;09;83001
01;2020-06-30;2;19;84665
01;2020-06-30;1;29;65496
01;2020-06-30;2;39;85588
01;2020-06-30;1;49;89678
01;2020-06-30;1;59;89791
01;2020-06-30;0;69;73500
01;2020-06-30;0;79;51011
01;2020-06-30;0;89;26830
01;2020-06-30;0;90;7395
01;2020-06-30;8;0;656955
01;2020-07-01;0;09;83001
01;2020-07-01;1;19;84665
01;2020-07-01;0;29;65496
01;2020-07-01;0;39;85588
01;2020-07-01;1;49;89678
01;2020-07-01;0;59;89791
01;2020-07-01;0;69;73500
01;2020-07-01;0;79;51011
01;2020-07-01;1;89;26830
01;2020-07-01;0;90;7395
01;2020-07-01;3;0;656955
01;2020-07-02;0;09;83001
01;2020-07-02;0;19;84665
