fra;jour;P_f;P_h;P;pop_f;pop_h;pop;cl_age90
FR;2020-08-28;437;338;777;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-28;235;223;460;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-28;123;137;261;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-28;70;45;115;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-28;50;12;62;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-28;3895;3692;7627;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-29;48;42;95;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-29;197;185;385;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-29;516;461;977;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-29;267;276;544;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-29;156;164;320;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-29;187;151;338;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-29;95;92;187;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-29;51;49;100;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-29;32;19;51;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-29;17;5;22;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-29;1566;1446;3021;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-30;21;22;43;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-30;78;77;155;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-30;214;214;429;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-30;122;131;253;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-30;94;71;165;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-30;62;57;119;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-30;34;27;61;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-30;16;27;43;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-30;18;13;31;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-30;15;2;17;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-30;674;641;1317;34692807.7476749;32422187.2523251;67114995;0
FR;2020-08-31;151;168;329;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-08-31;657;559;1230;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-08-31;1456;1539;3001;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-08-31;798;849;1650;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-08-31;625;563;1192;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-08-31;557;403;962;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-08-31;322;319;641;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-08-31;143;146;289;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-08-31;66;53;121;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-08-31;50;20;70;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-08-31;4827;4621;9489;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-01;130;119;253;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-01;610;578;1202;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-01;1350;1430;2785;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-01;769;750;1520;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-01;572;544;1122;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-01;512;431;945;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-01;264;264;529;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-01;135;147;282;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-01;102;67;170;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-01;31;15;46;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-01;4479;4346;8861;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-02;131;159;303;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-02;607;571;1184;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-02;1424;1503;2932;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-02;770;845;1617;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-02;550;520;1074;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-02;501;442;944;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-02;280;280;562;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-02;102;135;238;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-02;88;65;153;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-02;44;21;65;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-02;4498;4543;9076;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-03;185;170;359;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-03;590;560;1160;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-03;1480;1504;3003;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-03;928;907;1840;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-03;638;591;1233;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-03;547;489;1038;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-03;302;276;581;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-03;127;164;291;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-03;95;81;176;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-03;66;18;84;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-03;4962;4761;9771;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-04;215;229;453;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-04;706;649;1370;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-04;1381;1401;2791;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-04;872;872;1752;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-04;692;579;1272;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-04;578;551;1130;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-04;343;351;698;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-04;171;164;337;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-04;110;80;190;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-04;69;22;91;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-04;5142;4900;10094;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-05;92;93;189;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-05;326;229;558;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-05;586;538;1127;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-05;297;304;601;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-05;302;244;546;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-05;232;220;452;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-05;125;129;257;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-05;80;71;151;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-05;78;39;117;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-05;43;12;56;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-05;2161;1879;4054;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-06;21;28;50;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-06;98;105;204;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-06;203;198;402;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-06;114;118;232;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-06;99;88;187;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-06;71;72;144;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-06;52;48;100;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-06;32;33;65;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-06;34;28;62;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-06;22;4;26;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-06;746;722;1472;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-07;292;248;555;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-07;814;803;1645;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-07;1656;1677;3344;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-07;1062;929;1996;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-07;869;724;1598;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-07;804;624;1432;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-07;407;411;826;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-07;236;218;454;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-07;160;101;262;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-07;115;38;153;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-07;6417;5775;12271;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-08;284;270;573;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-08;784;757;1565;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-08;1670;1657;3331;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-08;983;884;1875;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-08;830;689;1521;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-08;746;622;1371;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-08;382;363;747;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-08;170;172;342;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-08;131;97;228;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-08;87;23;110;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-08;6069;5535;11666;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-09;236;257;510;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-09;776;839;1640;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-09;1566;1604;3185;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-09;891;849;1745;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-09;790;705;1503;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-09;678;598;1278;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-09;354;348;705;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-09;204;193;399;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-09;129;104;233;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-09;107;32;139;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-09;5735;5530;11346;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-10;260;289;558;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-10;836;873;1721;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-10;1619;1604;3231;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-10;1006;935;1945;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-10;841;731;1574;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-10;726;649;1381;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-10;400;394;795;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-10;208;200;408;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-10;171;99;273;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-10;133;38;171;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-10;6202;5812;12059;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-11;278;280;566;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-11;837;836;1692;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-11;1398;1373;2776;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-11;943;826;1773;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-11;843;708;1552;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-11;716;637;1355;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-11;397;357;756;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-11;218;212;431;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-11;145;108;254;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-11;97;27;124;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-11;5875;5367;11287;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-12;87;87;176;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-12;316;334;656;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-12;614;574;1191;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-12;337;297;635;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-12;310;293;604;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-12;252;263;515;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-12;143;153;296;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-12;99;111;210;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-12;69;67;136;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-12;48;24;72;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-12;2276;2204;4493;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-13;40;33;73;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-13;92;89;182;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-13;212;190;402;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-13;129;121;250;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-13;95;80;176;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-13;76;98;174;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-13;52;58;111;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-13;42;52;94;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-13;38;35;73;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-13;20;9;29;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-13;796;766;1565;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-14;265;295;568;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-14;1059;1141;2230;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-14;1902;1793;3701;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-14;1257;1024;2286;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-14;1058;844;1907;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-14;964;855;1824;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-14;514;483;1003;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-14;295;277;574;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-14;240;146;386;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-14;193;56;249;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-14;7750;6920;14739;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-15;252;300;561;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-15;1024;958;2004;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-15;1815;1725;3549;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-15;1110;965;2085;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-15;1028;864;1901;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-15;846;731;1580;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-15;438;464;904;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-15;241;237;479;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-15;185;136;322;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-15;108;36;144;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-15;7050;6418;13538;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-16;220;257;489;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-16;1042;1083;2152;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-16;1718;1830;3555;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-16;1086;1014;2102;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-16;932;833;1768;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-16;832;638;1475;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-16;483;488;975;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-16;250;256;506;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-16;180;113;293;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-16;99;37;136;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-16;6845;6553;13463;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-17;223;250;487;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-17;1041;1039;2095;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-17;1835;1849;3693;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-17;1125;1018;2147;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-17;1006;841;1850;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-17;827;696;1524;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-17;470;445;915;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-17;245;272;517;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-17;206;119;325;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-17;134;44;178;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-17;7117;6577;13745;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-18;236;246;493;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-18;1028;1007;2062;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-18;1748;1741;3495;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-18;1154;986;2146;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-18;903;789;1694;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-18;791;708;1501;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-18;460;443;905;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-18;255;245;500;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-18;180;141;322;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-18;108;45;153;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-18;6866;6354;13281;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-19;54;74;129;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-19;421;410;840;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-19;674;656;1331;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-19;374;389;766;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-19;384;344;730;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-19;302;324;626;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-19;193;181;376;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-19;108;102;210;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-19;84;60;144;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-19;45;13;58;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-19;2640;2553;5211;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-20;25;23;48;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-20;108;114;222;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-20;279;257;536;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-20;160;113;273;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-20;113;103;216;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-20;89;107;196;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-20;53;72;125;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-20;32;54;86;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-20;27;42;69;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-20;20;10;30;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-20;906;896;1802;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-21;197;246;457;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-21;1105;1080;2205;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-21;2056;2012;4081;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-21;1336;1116;2454;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-21;1156;946;2103;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-21;1011;863;1874;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-21;599;564;1163;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-21;327;329;656;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-21;254;173;427;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-21;148;49;198;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-21;8195;7383;15631;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-22;166;168;338;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-22;1028;1027;2070;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-22;1908;1784;3697;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-22;1210;1081;2293;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-22;1005;879;1886;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-22;898;831;1729;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-22;528;546;1076;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-22;266;292;558;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-22;211;138;352;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-22;146;44;191;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-22;7372;6801;14213;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-23;134;130;269;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-23;956;940;1919;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-23;1839;1744;3588;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-23;1073;990;2065;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-23;937;766;1706;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-23;829;747;1577;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-23;468;438;906;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-23;251;273;526;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-23;169;133;302;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-23;113;27;140;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-23;6774;6193;13012;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-24;148;140;292;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-24;891;909;1821;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-24;1720;1641;3366;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-24;1040;994;2036;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-24;924;788;1713;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-24;851;728;1582;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-24;475;481;958;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-24;253;255;509;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-24;185;130;315;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-24;95;37;132;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-24;6584;6104;12727;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-25;133;146;285;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-25;953;926;1898;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-25;1655;1588;3247;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-25;961;888;1851;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-25;881;801;1682;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-25;785;653;1440;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-25;457;447;905;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-25;268;279;547;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-25;170;120;291;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-25;92;35;127;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-25;6357;5886;12283;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-26;62;67;131;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-26;357;372;740;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-26;618;587;1206;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-26;378;351;729;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-26;305;305;611;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-26;316;305;622;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-09-26;181;175;356;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-09-26;97;120;218;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-09-26;79;60;139;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-09-26;28;21;49;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-09-26;2422;2364;4803;34692807.7476749;32422187.2523251;67114995;0
FR;2020-09-27;23;17;40;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-09-27;84;90;175;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-09-27;168;164;332;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-09-27;109;87;196;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-09-27;105;75;180;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-09-27;70;83;153;4494308.44474725;4298366.32326346;8792674.76801071;59
